Campaign Name,Title,Title Type,Size,Email Template,Job Category,Reply type,Geographical Region
Sales Emails - Q3 Jacob,CEO,Senior Management,311.45,202006_Content,CEO,1. Sent,North America
Sales Emails - Q3 Ferdinand,Founder,Senior Management,124.6,202006_Content,CEO,1. Sent,Europe - East
Sales Emails - Q3 Ferdinand,CEO,Senior Management,320.91,202006_Content,CEO,1. Sent,Europe - Italy
Sales Emails - Q3 Ferdinand,CEO,Senior Management,222.4,202006_Content,CEO,1. Sent,MENA - Middle East
Sales Emails - Q3 Ferdinand,CEO,Senior Management,188,202006_Content,CEO,1. Sent,Europe - Italy
Sales Emails - Q3 Ferdinand,Founder,Senior Management,188,202006_Content,CEO,1. Sent,Europe - Italy
Sales Emails - Q3 Ferdinand,Director In Charge,Senior Management,188,202006_Content,CEO,1. Sent,Europe - Italy
Sales Emails - Q4 Jolene,Founder and Publisher,Senior Management,751.4,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,352.59,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Owner,Senior Management,207.4,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,0,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,205,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,930.27,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,553.01,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Founder,Senior Management,272.29,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,205,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,205,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Interim CEO,Senior Management,205,202006_Content,CEO,5. Not Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,275.39,202006_Content,CEO,5. Not Sent,North America
Sales Emails - Q4 Jolene,CEO,Senior Management,0,202006_Content,CEO,5. Not Sent,North America
Sales Emails - Q4 Jolene,Owner,Senior Management,205,202006_Content,CEO,5. Not Sent,North America
Sales Emails - Q4 Jolene,Owner,Senior Management,205,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Co-Founder,Senior Management,1072.55,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Publisher,Senior Management,233.72,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Ceo,Senior Management,516.83,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,General Manager,Senior Management,795.89,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Founder,Senior Management,905.68,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Jolene,Publisher,Senior Management,323.63,202006_Content,CEO,1. Sent,North America
Sales Emails - Q4 Emil,Founder,Senior Management,0,202006_Content,CEO,1. Sent,Asia - East
Sales Emails - Q4 Emil,Founder,Senior Management,164.4,202006_Content,CEO,1. Sent,Asia - East
Sales Emails - Q4 Emil,Founder,Senior Management,0,202006_Content,CEO,1. Sent,Asia - East
Sales Emails - Q4 Emil,CEO,Senior Management,474.03,202006_Content,CEO,1. Sent,MENA - Middle East
